subject_id,npz_path,metric,win_sec,stride_sec,seg1,seg2,distance
subject25,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject25.npz,l2_norm,15,5,5-20,15-30,0.9994064249889362
subject25,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject25.npz,l2_norm,15,5,10-25,15-30,0.5633904965317428
subject26,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject26.npz,l2_norm,15,5,0-15,5-20,0.35070435610468415
subject26,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject26.npz,l2_norm,15,5,0-15,10-25,0.5352785353434181
subject26,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject26.npz,l2_norm,15,5,0-15,15-30,0.6973860000109691
subject26,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject26.npz,l2_norm,15,5,5-20,10-25,0.42048856450273403
subject26,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject26.npz,l2_norm,15,5,5-20,15-30,0.7685441275345686
subject26,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject26.npz,l2_norm,15,5,10-25,15-30,0.6250857400931819
subject27,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject27.npz,l2_norm,15,5,0-15,5-20,0.4727530229891089
subject27,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject27.npz,l2_norm,15,5,0-15,10-25,0.5769249361532433
subject27,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject27.npz,l2_norm,15,5,0-15,15-30,0.723776067132129
subject27,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject27.npz,l2_norm,15,5,5-20,10-25,0.41605122917061604
subject27,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject27.npz,l2_norm,15,5,5-20,15-30,0.8287896760417156
subject27,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject27.npz,l2_norm,15,5,10-25,15-30,0.8199788217262127
subject3,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject3.npz,l2_norm,15,5,0-15,5-20,0.5064036309595009
subject3,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject3.npz,l2_norm,15,5,0-15,10-25,0.6723020881479166
subject3,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject3.npz,l2_norm,15,5,0-15,15-30,1.1091020219363765
subject3,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject3.npz,l2_norm,15,5,5-20,10-25,0.6229676835486155
subject3,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject3.npz,l2_norm,15,5,5-20,15-30,1.10797846761982
subject3,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject3.npz,l2_norm,15,5,10-25,15-30,0.733964464826146
subject30,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject30.npz,l2_norm,15,5,0-15,5-20,0.8413171472646458
subject30,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject30.npz,l2_norm,15,5,0-15,10-25,1.1768436264795814
subject30,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject30.npz,l2_norm,15,5,0-15,15-30,1.1200747980730341
subject30,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject30.npz,l2_norm,15,5,5-20,10-25,0.7360232367370815
subject30,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject30.npz,l2_norm,15,5,5-20,15-30,0.7968014084222849
subject30,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject30.npz,l2_norm,15,5,10-25,15-30,0.39489293189767605
subject31,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject31.npz,l2_norm,15,5,0-15,5-20,0.7177950565257081
subject31,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject31.npz,l2_norm,15,5,0-15,10-25,0.6351570376064237
subject31,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject31.npz,l2_norm,15,5,0-15,15-30,0.829434751035206
subject31,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject31.npz,l2_norm,15,5,5-20,10-25,0.4976284122028395
subject31,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject31.npz,l2_norm,15,5,5-20,15-30,0.9341763461807661
subject31,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject31.npz,l2_norm,15,5,10-25,15-30,0.6490667497684532
subject32,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject32.npz,l2_norm,15,5,0-15,5-20,0.33259002263582116
subject32,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject32.npz,l2_norm,15,5,0-15,10-25,0.45767944727656396
subject32,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject32.npz,l2_norm,15,5,0-15,15-30,0.558164728351337
subject32,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject32.npz,l2_norm,15,5,5-20,10-25,0.31841273811308474
subject32,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject32.npz,l2_norm,15,5,5-20,15-30,0.4564344082716058
subject32,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject32.npz,l2_norm,15,5,10-25,15-30,0.28645193855853723
subject33,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject33.npz,l2_norm,15,5,0-15,5-20,0.6004537528134611
subject33,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject33.npz,l2_norm,15,5,0-15,10-25,0.8164346969527798
subject33,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject33.npz,l2_norm,15,5,0-15,15-30,0.8659912497667587
subject33,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject33.npz,l2_norm,15,5,5-20,10-25,0.5372286827932373
subject33,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject33.npz,l2_norm,15,5,5-20,15-30,0.7685253211479004
subject33,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject33.npz,l2_norm,15,5,10-25,15-30,0.6729756816894406
subject34,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject34.npz,l2_norm,15,5,0-15,5-20,0.5968624669720284
subject34,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject34.npz,l2_norm,15,5,0-15,10-25,0.7868386696693881
subject34,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject34.npz,l2_norm,15,5,0-15,15-30,0.7514975088810879
subject34,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject34.npz,l2_norm,15,5,5-20,10-25,0.529419997462658
subject34,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject34.npz,l2_norm,15,5,5-20,15-30,0.553601469467163
subject34,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject34.npz,l2_norm,15,5,10-25,15-30,0.33248164966614785
subject35,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject35.npz,l2_norm,15,5,0-15,5-20,0.6078858683324622
subject35,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject35.npz,l2_norm,15,5,0-15,10-25,0.8184612569443988
